time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-20T14:16:51.426Z,59.9278,-152.8023,98.1,1.3,ml,,,,0.72,ak,ak021dgswal9,2021-10-20T14:20:30.796Z,"56 km WNW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-20T14:15:47.070Z,19.1736660003662,-155.463668823242,33.7999992370605,2.41,ml,50,105,,0.109999999,hv,hv72763582,2021-10-20T14:21:18.480Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.54,0.75999999,3.16,27,automatic,hv,hv
2021-10-20T14:07:02.450Z,36.677166,-121.3123322,7.58,2.56,md,37,48,0.05116,0.14,nc,nc73641935,2021-10-20T16:12:02.661Z,"13km S of Tres Pinos, CA",earthquake,0.32,0.91,0.17,42,automatic,nc,nc
2021-10-20T14:01:36.928Z,61.528,-151.2571,60.8,1.2,ml,,,,0.59,ak,ak021dgst1pz,2021-10-20T14:11:39.318Z,"39 km W of Susitna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-20T13:48:52.413Z,38.2026,-117.7269,9.9,1.1,ml,10,139.25,0.029,0.1277,nn,nn00826252,2021-10-20T13:51:55.700Z,"39 km ESE of Mina, Nevada",earthquake,,0.7,0.21,7,automatic,nn,nn
2021-10-20T13:37:42.630Z,19.1773338317871,-155.483840942383,35.1599998474121,1.88,md,47,79,,0.109999999,hv,hv72763542,2021-10-20T13:40:46.660Z,"2 km S of Pāhala, Hawaii",earthquake,0.56,1.04999995,0.910000026,15,automatic,hv,hv
2021-10-20T13:36:22.199Z,62.1317,-149.6447,51.6,1.7,ml,,,,0.59,ak,ak021dgsf31n,2021-10-20T13:39:45.059Z,"11 km ESE of Susitna North, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-10-20T13:34:39.320Z,19.2154998779297,-155.37516784668,31.6599998474121,1.99000001,md,47,157,,0.140000001,hv,hv72763537,2021-10-20T13:37:45.710Z,"10 km E of Pāhala, Hawaii",earthquake,0.61,0.939999998,0.74000001,13,automatic,hv,hv
2021-10-20T13:34:12.820Z,34.1081667,-117.4845,5.75,1.92,ml,64,17,0.03891,0.23,ci,ci39838295,2021-10-20T14:04:11.539Z,"3km WNW of Fontana, CA",earthquake,0.22,0.86,0.143,26,automatic,ci,ci
2021-10-20T13:33:54.860Z,33.2433333,-116.0065,5.09,1.23,ml,40,45,0.04054,0.17,ci,ci39838287,2021-10-20T17:54:15.300Z,"8km SW of Salton City, CA",earthquake,0.17,0.42,0.085,13,reviewed,ci,ci
2021-10-20T13:31:14.873Z,62.1287,-149.6741,37.1,3.4,ml,,,,0.74,ak,ak021dgsdztr,2021-10-20T17:49:07.461Z,"9 km ESE of Susitna North, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-10-20T13:19:23.280Z,19.1636657714844,-155.459503173828,34.5800018310547,1.87,md,39,166,,0.129999995,hv,hv72763532,2021-10-20T13:22:28.530Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.55,0.970000029,1.89999998,4,automatic,hv,hv
2021-10-20T13:19:05.373Z,60.3311,-152.1548,94.4,1.5,ml,,,,0.47,ak,ak021dgsbeke,2021-10-20T13:23:42.809Z,"41 km NW of Ninilchik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-20T13:15:32.470Z,38.7799988,-122.7440033,0.43,0.65,md,7,91,0.006543,0.02,nc,nc73641925,2021-10-20T13:33:14.247Z,"1km ENE of The Geysers, CA",earthquake,0.36,0.79,,1,automatic,nc,nc
2021-10-20T13:08:27.969Z,61.9734,-149.8609,32.7,2.4,ml,,,,0.71,ak,ak021dgs93fo,2021-10-20T13:12:51.353Z,"20 km S of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-20T13:02:15.320Z,47.7773333,-113.7156667,4.13,0.69,ml,6,155,0.217,0.14,mb,mb80527479,2021-10-20T15:09:37.940Z,"19 km SSE of Swan Lake, Montana",earthquake,0.83,10.62,0.179,2,reviewed,mb,mb
2021-10-20T12:57:53.778Z,61.5805,-146.4599,22.1,2.1,ml,,,,0.71,ak,ak021dgry7rb,2021-10-20T13:00:29.719Z,"48 km SSE of Nelchina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T12:55:36.456Z,58.0509,-154.7377,37.9,1.9,ml,,,,1.69,ak,ak021dgrxr59,2021-10-20T13:06:33.040Z,"56 km NNW of Karluk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-10-20T12:43:30.020Z,19.1638336181641,-155.508331298828,34.1800003051758,2.02999997,md,38,107,,0.159999996,hv,hv72763507,2021-10-20T12:46:45.460Z,"5 km SW of Pāhala, Hawaii",earthquake,0.68,0.889999986,0.140000001,9,automatic,hv,hv
2021-10-20T12:39:38.960Z,33.9143333,-117.578,5.33,0.4,ml,14,94,0.03393,0.08,ci,ci39838255,2021-10-20T14:46:07.379Z,"3km SW of Norco, CA",earthquake,0.18,0.24,0.265,2,reviewed,ci,ci
2021-10-20T12:37:03.250Z,19.138500213623,-155.485504150391,32.7099990844727,1.79999995,md,39,168,,0.150000006,hv,hv72763502,2021-10-20T12:40:11.220Z,"7 km S of Pāhala, Hawaii",earthquake,0.69,0.99000001,1.89999998,4,automatic,hv,hv
2021-10-20T12:36:13.660Z,38.5466652,-119.5241699,5.06,2.37,md,11,80,0.03935,0.08,nc,nc73641920,2021-10-20T16:46:54.523Z,"5km NW of Walker, CA",earthquake,0.32,1.22,0.17,14,automatic,nc,nc
2021-10-20T12:30:50.680Z,19.2063331604004,-155.391494750977,32.7200012207031,2.41,ml,48,158,,0.119999997,hv,hv72763492,2021-10-20T12:36:21.740Z,"9 km E of Pāhala, Hawaii",earthquake,0.56,0.74000001,3.39,7,automatic,hv,hv
2021-10-20T12:30:21.328Z,57.6471,-153.2657,58.3,2.1,ml,,,,0.7,ak,ak021dgrsd2s,2021-10-20T12:34:36.666Z,"33 km SW of Port Lions, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-10-20T12:12:19.200Z,35.6618333,-117.5386667,8.82,1.45,ml,21,91,0.09763,0.15,ci,ci39838223,2021-10-20T13:41:37.370Z,"13km ENE of Ridgecrest, CA",earthquake,0.3,0.93,0.151,19,reviewed,ci,ci
2021-10-20T11:53:26.290Z,35.9283333,-117.7076667,3.48,1.57,ml,27,45,0.05042,0.11,ci,ci39838199,2021-10-20T17:00:50.790Z,"18km E of Little Lake, CA",earthquake,0.12,0.32,0.15,19,reviewed,ci,ci
2021-10-20T11:52:44.235Z,38.1617,-117.859,8.7,1,ml,12,103.24,0.01,0.056,nn,nn00826247,2021-10-20T11:56:13.942Z,"33 km SE of Mina, Nevada",earthquake,,0.5,0.27,7,automatic,nn,nn
2021-10-20T11:47:03.214Z,62.8704,-148.1567,54.7,1.8,ml,,,,0.79,ak,ak021dgraj8x,2021-10-20T11:50:21.905Z,"70 km SE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T11:26:07.110Z,38.8196678,-122.8146667,1.56,1.02,md,10,100,0.005169,0.01,nc,nc73641910,2021-10-20T11:47:11.920Z,"7km NW of The Geysers, CA",earthquake,0.43,0.78,,1,automatic,nc,nc
2021-10-20T11:25:56.950Z,38.8188324,-122.8144989,1.63,1.2,md,21,44,0.005719,0.02,nc,nc73641905,2021-10-20T14:22:12.559Z,"7km NW of The Geysers, CA",earthquake,0.2,0.4,0.01,5,automatic,nc,nc
